mexico	central_america	20	100	761601	54300000	mexico_city	peso
monaco	southern_europe	44	-7	1	30000	monaco	french_franc
mongolia	northern_asia	47	-103	604247	1360000	ulan_bator	tighrik
morocco	north_africa	32	6	171953	16310000	rabat	dirham
mozambique	southern_africa	-19	-35	303373	8820000	maputo	?
nepal	indian_subcontinent	28	-84	54362	12020000	katmandu	nepalese_rupee
netherlands	western_europe	52	-5	14192	13500000	amsterdam	guilder
new_zealand	australasia	-40	-176	103736	2962000	wellington	new_zealand_dollar
nicaragua	central_america	12	85	57143	2010000	managua	cordoba
niger	west_africa	13	-10	489206	4300000	niamey	cfa_franc
nigeria	west_africa	8	-8	356669	79759000	lagos	naira
north_korea	far_east	40	-127	46768	15090000	pvongvang	won
norway	scandinavia	64	-11	125181	3960000	oslo	krone
oman	middle_east	23	-58	82000	720000	muscat	riyal_omani
pakistan	indian_subcontinent	30	-70	342750	66750000	islamad	rupee
panama	central_america	9	80	28753	1570000	panama	balboa
papua_new_guinea	australasia	-8	-145	183540	2580000	port_harcourt	australian_dollar
paraguay	south_america	-23	57	157047	2670000	asuncion	guarani
peru	south_america	-8	75	496222	14910000	lima	sol
philippines	southeast_east	12	-123	115707	40220000	quezon_city	piso
poland	eastern_europe	52	-20	120359	33360000	warsaw	zloty
portugal	southern_europe	40	7	35340	8560000	lisbon	escudo
qatar	middle_east	25	-51	4000	115000	doha	riyal
romania	eastern_europe	46	-25	91699	5690000	bucharest	leu
rwanda	central_africa	-2	-30	10169	3980000	kigali	rwanda_franc
san_marino	southern_europe	44	-12	24	20000	san_marino	italian_lira
saudi_arabia	middle_east	26	-44	873000	8100000	riyadh	riyal
senegal	west_africa	14	14	76124	4230000	dakar	cfa_franc
seychelles	east_africa	-4	-55	40	156000	victoria	rupee
sierra_leone	west_africa	9	12	27925	2860000	freetown	leone
singapore	southeast_east	1	-104	226	2190000	singapore	singapore_dollar
somalia	east_africa	7	-47	246155	3100000	mogadishu	somali_shilling
south_africa	southern_africa	-30	-25	471819	23720000	pretoria	rand
south_korea	far_east	36	-128	38031	33333000	seoul	won
south_yemen	middle_east	15	-48	111000	1600000	aden	dinar
soviet_union	northern_asia	57	-80	8347250	250900000	moscow	ruble
spain	southern_europe	40	5	194883	34860000	madrid	peseta
sri_lanka	indian_subcontinent	7	-81	25332	13250000	colombo	rupee
